"","Month","Day","Year","location","route","operator","aboard","fatalities","summary","deathRate"
"11","March","08","2007","Hawaii","Sightseeing","Heli-USA Airways",7,4,"The helicopter crashed on Kauai shortly after the pilot radioed that he was having problems with the hydraulics. The helicopter hit the ground about 200 yards from it's normal landing pad. The failure of maintenance personnel to properly tighten (torque) the flight control servo lower attachment clevis, and reinstall a functioning lock washer, which resulted in a flight control disconnect and a complete loss of helicopter control. Contributing to the accident was the operator's failure to ensure its maintenance program was being executed in accordance with Federal regulations.",57.14
"12","March","11","2007","Hawaii","?","Inter-Island",5,1,"The helicopter was flying low near the coast when there was a loud bang and parts, including the tail rotor, fell into the ocean. The helicopter then hit trees and a fence as it spiraled down into an open field. The fatigue failure of the tail rotor blade root fitting due to a manufacturing defect which resulted in the separation of the tail rotor system and loss of tail rotor control. A contributing factor to the accident were the trees that the helicopter struck during the autorotation.",20
"13","March","14","2007","Brazil","Petrolina - Salvador","Bahia Taxi Aéreo
	
Bahia Taxi Aéreo
	
Bahia Taxi Aéreo",4,4,"Fifteen minutes before arriving at its destination  the crew informed ATC about a technical problem and that they were losing altitude. Few minutes  later, the twin engine plane crashed into an open field.",100
"14","March","17","2007","Russia","Surgut - Samara","UTAir Airlines",57,6,"While attempting to land in heavy fog, the airplane contacted the ground 400 m short of the runway. The left wing hit the ground and separated from the fuselage. The plane then rolled over inverted and the fuselage broke apart. The accident can be blamed on both the controller, who did not inform the pilot about the reduced visibility in time due to organizational problems, and on the pilot, who did not give the dispatcher the correct information about his landing trajectory and, consequently, did not decide to stop the landing procedure and try to take another approach at the time he should have done so.",10.53
"15","March","23","2007","Somalia","Mogadishu - Djibouti","Transaviaexport Airlines",11,11,"The cargo plane, carrying African peacekeepers, was struck by an anti-aircraft missile shortly after taking off from Mogadishu Airport. The aircraft lost a wing into the Indian Ocean and shortly thereafter crashed in the eastern outskirts of Mogadishu.",100
"16","April","25","2007","Guyana","Kato - Kopinang","Air Services",5,3,"The plane landed at Kato and could not take off because of bad weather. Twenty minutes after eventually taking off the plane crashed into mountains while en route. A mother and her five-year-old son walked for about 16 hours through Guyana's jungle to safety after surviving the crash.",60
"17","April","27","2007","Chechnya","?","Military - Russian",18,18,"The helicopter was carrying out a missiion with two other aircraft when a rotor blade struck an object while attempting to land. Conflicting reports say the helicopter may have been shot down by Chechnyan rebels.",100
"18","May","05","2007","Cameroon","Abidjan, Ivory Coast - Douala, Cameroon - Nairobi, Kenya","Kenya Airways",114,114,"The plane crashed in a dense, swampy forested area, 5 km from Douala Airport, moments after taking off in stormy weather. The plane was just six months old.  After take off, the plane was banking right and the pilot did not notice the inclination, but when he did, he banked the craft further right. The pilot released the flight controls for nearly one minute without engaging the auto pilot, which could have corrected the banking angle, then at 34 degrees. However, his intervention worsened the tilt. The captain grabed the controls, appeared confused about the attitude of the airplane and made corrections in an erratic manner increasing the banking angle to 50 degrees. When the bank angle increased to 70 degrees, the captain stated ""we are crashing."" The first officer told him to level the aircraft, but quickly corrected himself and said ""left, left, left captain. The aircraft  then plunged nose down into a mangrove swamp.",100
"19","May","06","2007","Egypt","El-Gora - Santa Katarina","Military - French Air Force",9,9,"Collided with a truck while attempting to make an emergency landing on a road. French soldiers aboard were with  the Sinai's peacekeeping force, the Multinational Force & Observers.",100
"20","May","17","2007","Congo","Walikale - Goma","Safe Air Complany",3,3,"An engine on the cargo plane caught fire shortly after taking off. An emergency return attempt to the airstrip was unsuccessful and the plane crashed into a nearby forest.",100
"21","May","24","2007","Peru","Iquitos - Pucallpa","Military - Peruvian Air Force",20,13,"Crashed into dense jungle shortly after taking off from Pampa Hermosa. The plane hit a hill and split in two.",65
"22","June","03","2007","Sierra Leone","Shuttle","Paramount Airlilnes",22,21,"The helicopter crashed and burned on the airport runway while attempting to land. It was shuttling passengers between Sierra Leone's coastal capital of Freetown and Lungi Airport.",95.45
"23","June","04","2007","Wisconson","Milwaukee, WI - Detroit, MI","University of Michigan Health System",6,6,"The pilot issued a distress signal within five minutes of taking off from General Mitchell International Airport in Milwaukee, requesting an emergency return to the airport. The plane then crashed into Lake Michigan two miles off shore. The plane was carrying an organ transplant team. The pilot reported to ATC he had runaway trim prior to the accident. The pilot's mismanagement of an abnormal flight control situation through improper actions including lack of crew coordination and failing to control airspeed and to prioritize control of the airplane. The event was controllable if the captain had not allowed the airspeed and resulting control forces to increase while he tried to troubleshoot the problem. By allowing their airplane's speed to increase while engaging in poorly coordinated troubleshooting efforts, the pilots allowed and abnormal situation to escalate to an emergency.",100
"24","June","13","2007","Mongolia","?","Mongolian Defense Ministry",22,15,"While en route to a forest fire, the helicopter crashed into dense forest on a mountain at an altitude of 6,100 feet.",68.18
"25","June","16","2007","Malawi","Lilongwe to Rumchi","Nyika Safaris",6,6,"The sightseeing plane crashed in fog and poor weather while en route. Wreckage was found in a ravine by villagers. Five British tourists along with the pilot killed.",100
"26","June","21","2007","Congo","Kamina - Lubumbashi","Karibu Airways",25,1,"The plane crashed shortly after taking off into a swamp coming to rest upside down. A parliment member of the Democratic Republic of Congo was killed.",4
"27","June","25","2007","Cambodia","Siem Reap - Sihanoukville","PMT Air",22,22,"The aircraft crashed into Phnom Damrey Mountain at an elevation of 1,640 feet, about 5 minutes from its destination of Sihanoukville.",100
"28","June","28","2007","Angola","Luanda - M'Banza","TAAG Angola Airlines",78,5,"The crew undershot the runway and blew two tires on landing, causing the landing gear to collapse and one wing to dip and touch the runway. The plane then veered out of control, overran the runway and crashed into cars and a building.",6.41
"29","July","05","2007","Ireland","Inishmaan - Connemara","Charter - Private",9,2,"The aircraft missed the runway on its approach after a sightseeing trip.",22.22
"30","July","05","2007","Mexico","?","Jett Paqueteria SA",3,3,"The small cargo jet blew a tire and failed to take off, barreling onto the Culiacán-Navolato highway and crashing into cars, coming to a stop after hitting a building.",100
"31","July","08","2007","Canada","Muncho Lake - Vancouver","Liard Air",5,1,"The twin engine plane crashed shortly after taking off from a gravel airstrip at Muncho Lake. One passenger was killed.",20
"32","July","17","2007","Brazil","Porto Alegre - Sao Paulo","TAM (Brazil)",187,187,"The jet airliner crashed while attempting to land in heavy rain at Congonhas airport. The plane skidded off the end of the runway across a major roadway and struck a gas station and building, bursting into flames.  The right engine had a malfunctioning reverser. In this situation, the correct procedure was for the pilot to retard both throttles to idle and then advance both throttles to reverse, as if he had no problem with the reversers. The former procedure, which was changed by Airbus, was to take both throttles to idle, and then advance just the throttle corresponding to the engine with the operating reverser. It was changed by Airbus because there had been several incidents where the pilot forgot to bring both throttles back to idle, leaving one engine reversed and the other thrusting forward. The downside to this change was it would lengthen the stopping distance. The pilot was so concerned about the short and slippery runway that he chose to switch to the old procedure and got it wrong. A contributing factor was the heavy rain and wind and the fact that the newly resurfaced runway had not had grooves installed yet.",100
"33","July","23","2007","Ethiopia","Dire Dawa - Djibouti","Djibouti Airlines",9,1,"The cargo plane crashed shortly after taking off after an engine failed. The pilot was trying to return for an emergency landing.",11.11
"34","July","24","2007","Alaska","Sightseeing","Taquan Air Service",5,5,"The single engine aircraft crashed onto a heavily forested mountain, 30 miles east of Ketchican while on a sightseeing trip over Misty Fiords. The pilot's decision to continue under visual flight rules into an area of instrument meteorological conditions. Contributing to the accident was the pilot's inadequate weather evaluation and the FAA's inadequate surveillance of the commercial air tour operator.",100
"35","July","29","2007","Russia","Sightseeing","Atran",9,9,"The cargo plane, carrying 9 tons of cargo, crashed 4 km from the runway as it was attempting to take off from Domodedovo airport. The aircraft slammed into a field shattering debris over a wide area.",100
"36","August","05","2007","New Mexico","Ruidoso - Albuquerque","Southwest Medivac",5,5,"The medivac flight crashed in Devil's Canyon in the Lincoln National Forest, four minutes after taking off from Ruidoso. The pilot, a male nurse, a female paramedic and a 15-month-old girl and her mother were killed.The pilot's failure to maintain clearance from terrain due to spatial disorientation.",100
"37","August","09","2007","French Polynesia","Moorea - Papeete","Air Moorea",20,20,"Soon after taking off the plane began loosing altitude and veered to the right until it crashed into the sea 1 mile beyond the runway. Loss of pitch control of the aircraft following a break in an elevator cable.",100
"38","August","16","2007","Alaska","Sightseeing","SeaWind Aviation",10,6,"The float plane crashed on land into a tree, 200 feet from shore, while attempting to land. High winds were in the area at the time of the accident. The  pilot's poor decision-making and inadequate planning. To avoid the rising waves, the pilot decided to take off toward the sheltered interior of the bay, toward the rising terrain, in a direction he had never attempted before. As the pilot attempted to turn the aircraft around, the airplane hit a downdraft, which held it from climbing above the closing landscape and caused the plane to stall about 60 feet over the ground.",60
"39","August","22","2007","Brazil","Curitiba - Jundiai","Two Taxi Aero",2,2,"Crashed shortly after taking off from Curitiba",100
"40","August","22","2007","Iraq","Transporting troops","Military - U.S. Army",14,14,"Crashed most likely due to a mechanical problem while traveling with a second helicopter.",100
"41","August","26","2007","Democratic Republic Congo","Kongolo - Goma","Great Lakes Business Complany",15,14,"The cargo plane, carrying tin ore, lost one of it's two engines eleven minutes after taking off and tried to return to the airport. Due to strong back winds and a fully loaded plane, the aircraft clipped tree tops and crashed and burned 3 km short of the runway. The plane was overloaded by 3 tons.",93.33
"42","September","07","2007","Democratic Republic Congo","Kisangi - Goma - Bukavu","Galaxy Kavatsi Airlines",8,8,"The cargo plane, carrying palm oil, overshot the runway, crashed into a petrified lava flow and caught fire.",100
"43","September","16","2007","Thailand","Bangkok - Phuket","One-Two-Go Airlines",130,90,"While landing in heavy rain and strong cross winds, the aircraft skidded off the runway, struck an earth embankment and caught fire. The pilot attempted to land, despite 15 warning alarms and his copilot's calls to abort the attempt. Also, the plane was traveling faster and descending more sharply than normal.",69.23
"44","September","24","2007","DR Congo","Lubumbashi - Malemba Nkulu","Karibu Airways",6,1,"Crashed while attempting to land and came to rest in a cemetery.",16.67
"45","October","04","2007","DR Congo","Kinshasa - Tshikapa","Africa One Congo",22,21,"While attempting to take off the No. 2 engine failed. The cargo plane crashed into a Congolese neighborhood and caught fire about three miles from the airport. The plane's mechanic was the only survivor aboard the plane.",95.45
"46","October","04","2007","Colorado","Chinle - Alamosa
	
Chinle - Alamosa","Scenic Air Tours",3,3,"During its descent at night and in poor weather conditions, the aircraft hit the Charleys Peak located 25 miles southeast from Alamosa. The aircraft was carrying one pilot, a flight paramedic and a flight nurse to pick up a patient in Alamosa. The pilot's failure to maintain clearance from mountainous terrain. Contributing to the accident was the pilot's inadequate preflight planning, improper in-flight planning and decision making, the dark night, and the controller's failure to issue a safety alert to the pilot.",100
"47","October","07","2007","Washington","Star, ID - Shelton, WA","Kapowsin Air Sports",10,10,"The parachutists had gone to Boise for a skydiving meet and were returning to Shelton when the plane crashed in rugged mountain territory. Radar shows the plane was at about 13,000 feet when it reached the Tieton River valley. The plane then turned around 360 degrees, then lost about 7,000 feet-per-minute before it disappeared. Reports indicate the pilot faced low clouds and low-level turbulence before the accident.",100
"48","October","08","2007","Colombia","Villavicencio - Uribe","Nacional de Aviacion",18,18,"Disappeared while en route.",100
"49","November","04","2007","Brazil","Sao Paulo - Rio de Janeiro","Reali Taxi Aereo",2,2,"The executive jet took off, banked to the right and crashed to the ground striking two houses. The copilot failed to complete the checklist and filled only the right wing fuel tank. By the time they took off it was too late to fix the imbalance with the balancing pump to distriblue fuel evenly in both wings. The plane banked to the right until it stalled and crashed.",100
"50","November","08","2007","Sudan","Khartoum - Juba","Juba Air Cargo",4,0,"While taking off, an engine on the cargo plane failed after the plane hit a hawk. The aircraft tried to return to the airport but crashed. The plane was transporting goods and foodstuffs for traders and international organizations in Juba. Two Sudanese soldiers were killed on the ground.",0
"51","November","30","2007","Turkey","Istanbul - Isparta","Atlasjet Airlines",57,57,"While making an approach to land, the passenger plane struck a mountaintop and broke apart, 7.5 miles from Isparta Airport. The accident was caused by pilot error as a result of the condition known as spatial disorientation. The pilot is believed to have lost the sight of line for the horizon and instead of trusting the flight instruments, diverted the aircraft to the route where the crash occurred.",100
"52","December","03","2007","Alaska","Cordova - Ancorage","Evergreen Alaska Helicopters, Inc.",4,4,"Crashed into the sea while en route. The pilot's decision to continue VFR flight into night instrument meteorological conditions. Contributing to the accident were the operator's failure to adhere to an FAA-approved and mandated safety risk management program, the FAA's failure to provide sufficient oversight of the operator to ensure they were in compliance with the risk management program, the pilot's lack of experience in night winter operations in Alaska, and the operator's lack of an EMS dispatch and flight following system.",100
"53","December","05","2007","Ohio","Columbus, OH - Buffalo, NY","Castle Aviation",2,2,"The cargo plane crashed into a brushy field, inverted, shortly after taking off in heavy snow. Radar data indicated that it was in a left turn at a ground speed of 109 knots before descending and impacting terrain. The plane was carrying checks and other goods for a banking customer. The pilot's failure to maintain aircraft control and collision avoidance with terrain due to spatial disorientation. Contributing to the accident were low cloud ceiling and night conditions.",100
"54","December","09","2007","Ukraine","Hradec Králové - Kiev","Fun Air",5,5,"The chartered twin engine plane crashed in an open field and slid into a vacant shed, short of the runway, in dense fog. All three passengers and crew of 2 were killed. All 5 were Czech nationals.",100
"55","January","04","2008","Venezuela","Los Rogues - Carac","Transaven",18,18,"The commuter airliner crashed into the sea while en route after the pilot reported engine problems.",100
"56","January","05","2008","Alaska","Kodiak - Homer","Servant Air",10,6,"The charter aircraft crashed into Kodiak harbor, 50 yards beyond the end of the runway, after taking off from Kodiak Airport.  One of the survivors said a baggage area door opened at the nose of the plane on the pilot’s side that prompted the pilot to try to return to the airport. Failure of company maintenance personnel to ensure that the airplane's nose baggage door latching mechanism was properly configured and maintained, resulting in an inadvertent opening of the nose baggage door in flight. Contributing to the accident were the lack of information and guidance available to the operator and pilot regarding procedures to follow should a baggage door open in flight and an inadvertent aerodynamic stall.",60
"57","January","12","2008","Macedonia","Bosnia - Skopje, Macedonia","Military - Macedonian Air Force",11,11,"The helicopter crashed 15 miles southeast of Skopje in heavy fog while attempting to land. The aircraft was returning from European Union-led peacekeeping operations in Bosnia.",100
"58","January","14","2008","Hawaii","Lihu - Kauai","Apline Aviation",1,1,"The cargo plane was carrying mail when it crashed into the sea, 7 miles south of Lihu. The pilot's spatial disorientation and loss of situational awareness. Contributing to the accident were the dark night and the task requirements of simultaneously monitoring the cockpit instruments and the other airplane.",100
"59","January","17","2008","England","Bejing, China - London, England","British Airways",152,0,"The aircraft was on approach for landing on Runway 27L at Heathrow Airport when at a height of approximately 600 ft and 2 miles from touch down the aircraft descended rapidly and struck the ground, 1,000 ft. short of the paved runway surface, just inside the airfield boundary fence. An investigation showned that the fuel flow to both engines was restricted; most probably due to ice within the fuel feed system. The ice is likely to have formed from water that occurred naturally in the fuel, and should have been melted by the fuel-oil heat
exchanger (FOHE).  However, the FOHE did not heat its own inlet  face, and investigation showed that, although the flight was   within the certified operational envelope at all times, a long   period of low fuel flow in an unusually cold environment, followed  by a throttle increase, could cause an ice jam at that point. Corrections in design were made so this would not occur again.",0
"60","January","19","2008","Angola","Luanda, Angola - Huambo, Angola","Gira Globo Charter",13,13,"The twin engine plane crashed into mountains in rain and fog. The crew was flying below minima in a mountainous area.",100
"61","January","23","2008","Poland","Warsaw - Miroslawiec","Military - Polish Air Force",20,20,"While attempting to land, the plane fell to the ground from about 500-650 feet and crashed into a wooded area, 2 miles from the airport.",100
"62","January","26","2008","Indonesia","Tarakan - Long Apung","Dirgantara Air Service",3,3,"The cargo plane crashed while en route.",100
"63","February","21","2008","Venezuela","Merida - Caracas","Santa Barbara Airlines",46,46,"Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida. Preliminary information released, indicates the crew departed Mérida with inoperative navigation equipment and subsequently became disoriented in the mountainous terrain surrounding the airport, crashing into the side of a mountain while trying to determine their location.",100
"64","February","26","2008","Argentina","Oil Rig P18 - Macae","BHS - Brazilian Helicopter Service Air Taxi",20,5,"Less than half minute after the taking-off from the Oil Rig P-18,  and while still in low altitude, a failure in the tail rotor caused loss of control of the aircraft by the crew. The helicopter crashed in the sea.",25
"65","March","03","2008","Nepal","?","United Nations Mission",10,10,"The helicopter, carrying United Nations personnel, crashed in hilly terrain, in poor weather conditions and burst into flames.",100
"66","March","15","2008","Nigeria","Lagos - Bebi Air Strip","Trade Wings Aviation Ltd.",3,3,"The plane crashed while en route. Wreckage was found the next day near Nbagu Village.",100
"67","April","03","2008","Suriname","Paramaribo - Lawa","Blue Wing Airlines",19,19,"While attempting to land the crew aborted the the approach and executed a go-around. Soon after the plane flew into a hillside.",100
"68","April","09","2008","Australia","Sydney - Brisbane","Avtex Air Services",1,1,"The pilot of the mail plane reported some minor problems before the aircraft disapppeared off radar.",100
"69","April","11","2008","Moldova","Chrisinau, Moldova - Antalya, Turkey - Sudan","Kata Transportation",8,8,"Just minutes after the take off the plane tried to return to the airport because of engine problems, but crashed about 100 metres away from the runway. Pilots tried to land the transport, which was carrying a cargo of 2.3 tons of fuel, but a wing struck a fence and electrical wires and the plane crashed and burst into flames. All eight crew members aboard were killed",100
"70","April","15","2008","Congo","Goma - Kisangani - Kinshasa","Hewa Bora Airways",85,0,"While attempting to takeoff, the plane failed to reach takeoff speed, overran the runway, proceeded through a perimeter fence and cashed into a crowded market.",0
"71","April","16","2008","Equatorial Guinea","Bata - Annobon Island","Military - Government of Equatorial Guinea",13,13,"Crashed into the ocean after skidding off the runway in high winds and heavy rain.",100
"72","April","28","2008","Black Sea","?","Naftogaz",20,20,"The helicopter crashed after the tail section hit the tower of the offshore drilling platform while it was attempting to land. The pilot was a trainee flying with an instructor. One survivor succumbed to his injuries soon after the crash.",100
"73","May","02","2008","Sudan","Wau - Rumbek - Juba","Southern Sudan Air Connection",24,24,"The pilot radioed a control tower in the city of Rumbek just before the crash, requesting permission to land because one of the engines had technical problems. A few minutes later, the tower lost contact with the plane. The Minister of Defense, and an adviser to the Southern Sudan president, were among the dead.",100
"74","May","17","2008","Washington","Chelan - Stehekin","Chelan Air Service",5,2,"The float plane flipped and crashed as it attempted to land in Lake Chelan near Stehekin Lodge. It appeared the plane's wheels were deployed even though it was landing on water. The pilot's failure to retract the landing gear wheels prior to performing a water landing. Contributing to the accident were the pilot's disabling of the landing gear warning/advisory system and possible fatigue due to his work schedule.",40
"75","May","23","2008","Montana","Billings - Great Falls","Alpine Aviation",1,1,"After taking off and  being told to turn left, the cargo plane, carrying mail, started a slow right turn until it crashed into a warehouse and burst into flames. The plane appeared to be inverted before it crashed. The pilot's failure to maintain aircraft control during the initial climb for undetermined reasons.",100
"76","May","24","2008","California","Long Beach - Two Harbors","Island Express Helicopter Service",6,4,"The tour helicopter crashed near Banning House lodge in rain and poor visibility. The engine appears to have failed. Loss of engine power during approach for landing due to a fatigue fracture of a power turbine blade.",66.67
"77","May","26","2008","Russia","Chelyabinsk - Perm","Moskovia Airlines",9,9,"The crew of the cargo plane reported a fire shortly after taking off from Chelyabinsk. The plane crashed in a field while attempting to make an emergency landing, after striking a power transmission line.",100
"78","May","29","2008","Panama","Tocumen - Colon","Military - Servicio Aereo Nacional",12,11,"Chile's national police chief General Jose Alejandro Bernales, 59, and five others were killed when their helicopter crashed into a three story building. The helicopter pitched wildly before crashing into the building.",91.67
"79","May","30","2008","Honduras","San Salvador, El Salvador - Tegucigalpa, Honduras - Miami","TACA International Airlines",136,3,"After making a missed approach and during the second attempt at landing at Toncontin Airport, the plane overran the runway, skidded across a street, struck cars and came to rest against an embankment. The runway was wet with rain from Tropical Storm Alma.",2.21
"80","June","07","2008","Chile","Puerto Montt - La Junta","Patagonia Airlines",10,10,"The air taxi crashed about 18 km from its destination into a heavily wooded area. Continued VFR flight into IMC conditions. Pilot error.",100
"81","June","08","2008","Texas","Huntsville-Houston","PHI Air Medical",4,4,"The medical helicopter crashed into the Sam Houston National Forest while transporting a patient to a Houston hospital. The pilot's failure to identify and arrest the helicopter's descent, which resulted in its impact with terrain. Contributing to the accident was the pilot's inadvertent flight into instrument meteorological conditions, and the limited outside visual reference due to the dark night conditions, low clouds, and fog.",100
"82","June","10","2008","Sudan","Aman, Jordan - Damascus, Syria - Khartoum, Sudan","Sudan Airways",214,32,"While landing in poor weather, the plane skidded off the runway, hit navigation poles and burst into flames. The plane had flown from Amman via Damascus but been turned back once from Khartoum and forced to land in Port Sudan, on the Red Sea, because of bad weather, before being allowed to return to Khartoum.",14.95
"83","June","18","2008","Massachusetts","Hyannis - Nantucket","Wiggins Airways",1,1,"The cargo plane took off, reached about 200 feet, rolled over to the right and impacted the ground, nose first. The pilot's failure to remove the flight control lock prior to takeoff. Contributing to the accident was the FAA's failure to issue an airworthiness directive making the manufacturer's previously issued flight control lock service bulletins mandatory.",100
"84","June","20","2008","Thailand","?","Military - Thai Army",10,10,"The military helicopter developed a mechanical problem and crashed into a hill while attemping to land.",100
"85","June","26","2008","Indonesia","Jakarta - aerial survelliance","Military - Indonesian Air Force",18,18,"The plane went missing in an area approximately 60 miles south of Jakarta while on a aerial surveillance mission.",100
"86","June","27","2008","Sudan","Khartoum - Juba","Juba Air Cargo",8,7,"The cargo plane crashed mid-flight after entering an area of thunderstorms.",87.5
"87","June","29","2008","Arizona","Medical flight","Air Methods / Classic Helicopters",7,6,"The two helicopters struck each other in mid-air and crashed in a wooded area about 0.5 miles from Flagstaff Medical Center. Both helicopter pilots' failure to see and avoid the other helicopter on approach to the helipad. Contributing to the accident were the failure of N407GA's pilot to follow arrival and noise abatement guidelines and the failure of N407MJ's pilot to follow communications guidelines.",85.71
"88","June","30","2008","Sudan","Khartoum - Juba","Ababeel Aviaition",4,4,"While taking off, the cargo plane hit an electricity pole, crashed into a field and burst into flames. All four crew members were killed.",100
"89","July","06","2008","Mexico","Hamilton, Ont, Can.- Shreveport, LA - Saltillo, Mexico","USA Jet Airlines",2,1,"While attempting to land, the cargo plane, loaded with auto parts, and experiencing engine trouble, crashed splitting into four pieces and scattering debris across an area of about 600 meters in diameter. The pilot was killed and the copilot seriously injured.",50
"90","July","07","2008","Colombia","Bogota, Colombia - Miami, FL","Centurian Air Cargo",8,0,"The cargo plane carrying a load of flowers had taken off from Bogota when the crew radioed that they had an engine fire. They attempted to return to the airport, but crashed in a field and destroyed a farm house killing three people inside.",0
"91","July","10","2008","Chile","Puerto Montt - Melinka Island","Aerocord",9,9,"The plane made a sharp turn to the left and crashed shortly after taking off near La Paloma air strip. The plane was in flames as it plunged to the ground. The pilot and 8 passengers including a small boy were killed.",100
"92","July","31","2008","Minnesota","Atlantic City, NJ- Owatonna,MN","East Coast Jets",8,8,"While attempting to land on Runway 30, the business jet landed 500 to 1000 feet down a 5,000 ft. runway, overran the runway, passed over a ditch and roadway, slid into a cornfield and broke up. One person survived the accident but died later. The pilots  were both working on insufficient sleep and displayed poor coordination with one another. The pilots failed to account for a wet runway and 8-knot tailwind when they touched down on the 5,500-foot runway, and they should have applied a braking system a full seven seconds earlier than they did.Realizing they were running out of runway, the pilots hit the throttles to try to take off again. Had the pilots hit the lift dump right after touchdown, or landed into the wind, the plane probably could have stopped safely on the runway. The accident was due to the captain's decision to attempt a go-around late in the landing roll with insufficient runway remaining. Contributing to the accident were the pilots' poor crew coordination and lack of cockpit discipline.; fatigue, which likely impaired both pilots' performance and failure of the FAA to require crew resource management training and standard operating procedures for Part 135 operators.",100
"93","August","03","2008","Canada","Port Hardy - Chamiss Bay, Vancouver Island","Pacific Coastal Airlines",7,5,"The plane crashed in a remote mountanous region of Vancouver Island while en route on a short 30 minute flight. Investigators determined the plane's body broke apart when it hit the ground near Alice Lake, and exposed electrical wires sent sparks into a pool of spilled fuel, starting a fire that consumed the plane. The accident was triggered when the plane stalled and dipped while attempting a steep climb over a ridge.",71.43
"94","August","05","2008","California","Ferrying fire fighters","Junction City Fire Department",13,9,"The helicopter was ferrying fire fighters in Northern California's Shasta-Trinity National Forest when it crashed. The four survivors were seriously burned, with two listed in critical condition. The helicopter lost main rotor power during liftoff.",69.23
"95","August","06","2008","Thailand","Betong - ?","Military - Royal Thai Air Force",10,10,"The helicopter crashed while ferrying a forensic team to the site of a gun battle between Muslim rebels and security forces. The aircraft suffered engine failure and crashed into the side of a hill.",100
"96","August","13","2008","Somalia","Kenya - Somalia","Fly 540",3,3,"While on approach in poor weather the cargo plane struck a telephone line and crashed.",100
"97","August","20","2008","Spain","Madrid - Las Palmas, Canary Islands","Spanair",172,154,"The airliner crashed while attempting to takeoff. The plane was able to get slightly airborne before crashing into a ravine at the end of the runway. The plane took off without the crew extending  it's flaps and slats, but the pilots would not have known there was a problem because the alarm did not go off. Malware may have interfered with the warning  alarm software.",89.53
